budget,popularity,vote_count,revenue
237000000,150.437577,11800,2787965087
300000000,139.082615,4500,961000000
245000000,107.376788,4466,880674609
250000000,112.31295,9106,1084939099
260000000,43.926995,2124,284139100
258000000,115.699814,3576,890871626
260000000,48.681969,3330,591794936
280000000,134.279229,6767,1405403694
250000000,98.885637,5293,933959197
250000000,155.790452,7004,873260194
270000000,57.925623,1400,391081192
200000000,107.928811,2965,586090727
200000000,145.847379,5246,1065659812
255000000,49.046956,2311,89289910
225000000,99.398009,6359,662845518
225000000,53.978602,1630,419651413
220000000,144.448633,11776,1519557910
380000000,135.413856,4948,1045713802
225000000,52.035179,4160,624026776
250000000,120.965743,4760,956019788
215000000,89.866276,6586,752215857
200000000,37.668301,1398,310669540
250000000,94.370564,4524,958400000
180000000,42.990906,1303,372234864
207000000,61.22601,2337,550000000
200000000,100.025899,7562,1845034188
250000000,198.372395,7241,1153304495
209000000,64.928382,2114,303025485
150000000,418.708552,8662,1513528810
200000000,93.004993,7604,1108561013
200000000,35.149586,4321,783766341
200000000,77.68208,8806,1215439994
200000000,78.530105,4645,1025491110
210000000,3.857526,3525,459359555
200000000,89.186492,3528,743559607
150000000,21.939663,3138,836297228
210000000,116.840296,3095,1091405097
200000000,46.985445,3530,491868548
200000000,89.270217,4179,705717432
170000000,73.79505,2841,400062763
200000000,49.98659,2033,559852396
200000000,51.872839,2487,219851172
200000000,59.995418,4597,1066969703
200000000,71.862892,2463,371353001
190000000,102.322217,4176,1506249360
200000000,81.834855,5560,531865000
250000000,118.078691,6032,747862775
190000000,78.291018,4418,467365246
195000000,43.349855,2598,197687603
105000000,61.196071,3769,351040419
150000000,62.169881,2317,335154643
180000000,56.523205,4794,407602906
195000000,28.529607,3299,1123746996
185000000,75.674458,2495,786636033
175000000,51.692953,1736,331926147
185000000,125.114374,4641,538983207
185000000,65.352913,2568,343471816
180000000,66.390712,6296,521311860
140000000,22.57178,783,258022233
200000000,45.274225,4903,769653595
200000000,39.744242,1095,325233863
176000003,85.36908,2768,183987723
180000000,42.741719,2430,356743061
180000000,67.391328,2629,748806957
178000000,139.272042,4721,543934787
185000000,187.322927,12002,1004558444
175000000,92.201962,6870,735099082
175000000,36.167578,1423,381509870
140000000,120.725053,8776,585174222
170000000,32.319043,2141,185770160
170000000,40.748915,1020,222104681
145000000,60.034162,1387,401128639
175000000,90.23792,7458,745000000
175000000,27.082182,1151,173000000
178000000,79.456485,4858,370541256
175000000,44.640292,992,264218220
175000000,32.852443,1962,302469017
175000000,128.655964,6560,857611174
175000000,94.199316,2892,966550600
200000000,77.300194,6849,623933331
170000000,77.178973,3118,396600000
180000000,110.620647,4496,758539785
170000000,243.791743,4410,710644566
175000000,41.796339,1326,150962475
170000000,72.225265,5764,714766572
165000000,44.041186,1959,752600867
190000000,130.311355,2846,209154322
165000000,203.73459,6135,652105443
165000000,62.341073,4570,471222889
165000000,47.323228,1474,305875730
165000000,48.775723,2491,389681935
165000000,67.263269,4227,494878759
200000000,69.405188,2143,435000000
170000000,481.098624,9742,773328629
165000000,724.247784,10867,675120017
160000000,167.58371,13752,825532764
15000000,9.476999,143,77000000
250000000,108.849621,8297,1021103568
38000000,6.909942,3428,207283925
150000000,60.269279,3292,333932083
160000000,3.195174,5181,353624124
160000000,127.284427,3984,653428261
150000000,35.580815,1470,215283742
160000000,21.133748,583,181674817
170000000,56.268916,1725,299370084
160000000,42.986467,2278,798958165
160000000,63.148529,2268,433677183
155000000,202.042635,3631,440603537
155000000,49.661984,1514,415686217
140000000,34.20669,1791,449220945
150000000,25.468493,4040,709709780
155000000,39.019229,927,167298192
150000000,78.144395,5494,938212738
150000000,101.250416,5608,895921036
150000000,56.758411,2961,624029371
150000000,70.867401,4853,585349010
150000000,53.905592,3624,474968763
150000000,65.677399,4369,623722818
150000000,115.040024,7359,374218673
150000000,44.141021,1810,603900354
150000000,81.781591,1971,413106170
150000000,5.954334,4021,373062864
150000000,73.313918,3096,424988211
150000000,165.125366,5295,1274219009
150000000,70.78591,3443,738599701
170000000,99.499595,4755,644571402
150000000,434.278564,9427,378858340
150000000,67.447636,2129,356613439
150000000,86.493424,6525,449326618
150000000,41.845878,1750,309979994
150000000,26.710398,510,292817841
150000000,44.927635,1431,301000000
150000000,50.306728,2320,245527149
150000000,114.522237,3224,682330139
150000000,29.332905,1171,287594577
150000000,51.247321,1880,665692281
150000000,33.769336,1151,318502923
150000000,63.079003,2028,397850012
150000000,39.004588,1891,205366737
150000000,12.362599,199,38992758
149000000,22.550135,874,64459316
150000000,48.03528,954,128388320
145000000,38.73494,843,272912430
175000000,66.803149,2759,497409852
145000000,44.989192,1808,746921274
140000000,54.159392,1092,431971116
144000000,66.21806,2142,229147509
